Date,Open,High,Low,Close,Volume,Market Cap
3/21/2021,58309.91,58767.90,56005.62,57523.42,51943414539.00,1073417235408.00
3/20/2021,58332.26,60031.29,58213.30,58313.64,50361731222.00,1088105221978.00
3/19/2021,57850.44,59498.38,56643.70,58346.65,49063873786.00,1088666450746.00
3/18/2021,58893.08,60116.25,54253.58,57858.92,55746041000.00,1079511086884.00
3/17/2021,56825.83,58969.82,54528.63,58870.89,60258313191.00,1098337655327.00
3/16/2021,55840.79,56833.18,53555.03,56804.90,59749798599.00,1059745818423.00
3/15/2021,59267.43,60540.99,55393.17,55907.20,66419369890.00,1042946024860.00
3/14/2021,61221.13,61597.92,59302.32,59302.32,43901225564.00,1106226132525.00
3/13/2021,57343.37,61683.86,56217.97,61243.08,60669829814.00,1142369158667.00
3/12/2021,57821.22,57996.62,55376.65,57332.09,55689944702.00,1069366321844.00
3/11/2021,55963.18,58091.06,54484.59,57805.12,56772343595.00,1078135604118.00
3/10/2021,54824.01,57258.25,53290.89,56008.55,57295577614.00,1044580057477.00
3/9/2021,52272.97,54824.12,51981.83,54824.12,50912227385.00,1022439972862.00
3/8/2021,51174.12,52314.07,49506.05,52246.52,48597428048.00,974321883623.00
3/7/2021,48918.68,51384.37,48918.68,51206.69,43137459378.00,954880954585.00
3/6/2021,48899.23,49147.22,47257.53,48912.38,34363564661.00,912054166029.00
3/5/2021,48527.03,49396.43,46542.51,48927.30,48625928883.00,912285065720.00
3/4/2021,50522.31,51735.09,47656.93,48561.17,52343816680.00,905414104807.00
3/3/2021,48415.81,52535.14,48274.32,50538.24,53220811975.00,942236576905.00
3/2/2021,49612.11,50127.51,47228.85,48378.99,47530897720.00,901933683269.00
3/1/2021,45159.50,49784.02,45115.09,49631.24,53891300112.00,925235527882.00
2/28/2021,46194.02,46716.43,43241.62,45137.77,53443887451.00,841428977515.00
2/27/2021,46344.77,48253.27,45269.03,46188.45,45910946382.00,860978135421.00
2/26/2021,47180.46,48370.79,44454.84,46339.76,350967941479.00,863752275053.00
2/25/2021,49709.08,51948.97,47093.85,47093.85,54506565949.00,877766126138.00
2/24/2021,48835.09,51290.14,47213.50,49705.33,63695521388.00,926393090751.00
2/23/2021,54204.93,54204.93,45290.59,48824.43,106102492824.00,909925854460.00
2/22/2021,57532.74,57533.39,48967.57,54207.32,92052420332.00,1010205212981.00
2/21/2021,56068.57,58330.57,55672.61,57539.94,51897585191.00,1072263294725.00
2/20/2021,55887.34,57505.23,54626.56,56099.52,68145460026.00,1045371087640.00
2/19/2021,51675.98,56113.65,50937.28,55888.13,63495496918.00,1041380696669.00
2/18/2021,52140.97,52474.11,51015.76,51679.80,52054723579.00,962915078024.00
2/17/2021,49207.28,52533.91,49072.38,52149.01,80820545404.00,971611626454.00
2/16/2021,47944.46,50341.10,47201.30,49199.87,77049582886.00,916623418254.00
2/15/2021,48696.54,48875.57,46347.48,47945.06,77069903166.00,893210080039.00
2/14/2021,47114.51,49487.64,47114.51,48717.29,71248675228.00,907551330153.00
2/13/2021,47491.20,48047.74,46392.28,47105.52,70250456155.00,877478894464.00
2/12/2021,47877.03,48745.73,46424.98,47504.85,76555041196.00,884874050612.00
2/11/2021,44898.71,48463.47,44187.76,47909.33,81388911810.00,892364856136.00
2/10/2021,46469.76,47145.57,43881.15,44918.18,87301089896.00,836616907527.00
